event_id,event_title,event_volume,event_liquidity,n_markets,market_id,question,p_yes_mid,p_yes_mid_valid,best_bid,best_ask,end_date
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559695,Will James Talarico win the 2028 Democratic presidential nomination?,0.0215,True,0.021,0.022,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559696,Will Graham Platner win the 2028 Democratic presidential nomination?,0.0015,True,0.001,0.002,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559697,Will Abigail Spanberger win the 2028 Democratic presidential nomination?,0.0015,True,0.001,0.002,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559698,Will Hakeem Jeffries win the 2028 Democratic presidential nomination?,0.0005,True,,0.001,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559699,Will Elissa Slotkin win the 2028 Democratic presidential nomination?,0.0025,True,0.002,0.003,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559700,Will Adam Schiff win the 2028 Democratic presidential nomination?,0.0005,True,,0.001,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559701,Will Josh Stein win the 2028 Democratic presidential nomination?,0.0005,True,,0.001,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559702,Will Alex Padilla win the 2028 Democratic presidential nomination?,0.0005,True,,0.001,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559703,Will Person V win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559704,Will Person W win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559705,Will Person X win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559706,Will Person Y win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559707,Will Person Z win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559708,Will Person AA win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559709,Will Person AB win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559710,Will Person AC win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559711,Will Person AD win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559712,Will Person AE win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559713,Will Person AF win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559714,Will Person AG win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559715,Will Person AH win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559716,Will Person AI win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559717,Will Person AJ win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559718,Will Person AK win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559719,Will Person AL win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559720,Will Person AM win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559721,Will Person AN win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559722,Will Person AO win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559723,Will Person AP win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559724,Will Person AQ win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559725,Will Person AR win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559726,Will Person AS win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559727,Will Person AT win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559728,Will Person AU win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559729,Will Person AV win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559730,Will Person AW win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559731,Will Person AX win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559732,Will Person AY win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559733,Will Person AZ win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559734,Will Person BA win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559735,Will Person BB win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559736,Will Person BC win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559737,Will Person BD win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
30829,Democratic Presidential Nominee 2028,1264485222.5733736,80047876.67593,128,559738,Will Person BE win the 2028 Democratic presidential nomination?,,False,0.0,1.0,2028-11-07T00:00:00Z
